Year,MA_Intensity,BHC_Intensity,DeNovo_Intensity,Aggregate_Intensity,Avg_State_Deposits,Deposit_Intensity
1934,0.0,0.0,0.0,0.0,786163.2653061225,0.0
1935,0.0,0.0,0.0,0.0,889489.7959183673,0.0019065726001954997
1936,0.0,0.0,0.0,0.0,992612.2448979592,0.003809379502978013
1937,0.0,0.0,0.0,0.0,950775.5102040817,0.0030374115333156046
1938,0.0,0.0,0.0,0.0,1002632.6530612245,0.003994275245955693
1939,0.0,0.0,0.0,0.0,1130204.081632653,0.006348212698814091
1940,0.0,0.0,0.0,0.0,1278938.775510204,0.00909265297339928
1941,0.0,0.0,0.0,0.0,1396428.5714285714,0.011260564974056102
1942,0.0,0.0,0.0,0.0,1765408.163265306,0.01806894589673725
1943,0.0,0.0,0.0,0.0,2092877.551020408,0.024111383965616764
1944,0.0,0.0,0.0,0.0,2527183.673469388,0.03212516463019517
1945,0.0,0.0,0.0,0.0,2967489.7959183673,0.0402496567987154
1946,0.0,0.0,0.0,0.0,2749857.1428571427,0.03623391707750567
1947,0.0,0.0,0.0,0.0,2848326.5306122447,0.03805086607927208
1948,0.0,0.0,0.0,0.0,2823836.7346938774,0.03759898238971359
1949,0.0,0.0,0.0,0.0,2875530.612244898,0.03855283354442329
1950,0.0,0.0,0.0,0.0,3079938.775510204,0.04232455607327143
1951,0.0,0.0,0.0,0.0,3272673.4693877553,0.0458808807100967
1952,0.0,0.0,0.0,0.0,3436183.673469388,0.048897957477382174
1953,0.0,0.0,0.0,0.0,3511632.6530612246,0.0502901358109636
1954,0.0,0.0,0.0,0.0,3676346.93877551,0.053329430192985694
1955,0.0,0.0,0.0,0.0,3828877.551020408,0.056143912439452444
1956,0.0,0.0,0.0,0.0,3934959.1836734693,0.05810132195472328
1957,0.0,0.0,0.0,0.0,4013795.9183673467,0.05955601086536029
1958,0.0,0.0,0.0,0.0,4306265.306122449,0.06495263182791249
1959,0.0,0.0,0.0,0.0,4387306.12244898,0.06644799027060977
1960,0.15783220455132027,0.0,0.15783220455132027,0.10522146970088017,4586244.897959184,0.07011879210878985
1961,0.16106839169978504,0.0,0.16106839169978504,0.1073789277998567,4965693.87755102,0.07712035330875723
1962,0.16377760532237243,0.0,0.16377760532237243,0.10918507021491494,5233204.081632653,0.08205642947770107
1963,0.16596841526644976,0.0,0.16596841526644976,0.11064561017763316,5494775.510204081,0.08688292385192697
1964,0.16323403007749254,0.0,0.16323403007749254,0.10882268671832834,6125673.469387755,0.0985242008344361
1965,0.1600502504826448,0.0,0.1600502504826448,0.10670016698842985,6628020.408163265,0.10779346501650448
1966,0.15945242877916954,0.0,0.15945242877916954,0.10630161918611303,7051279.183673469,0.11560340094872305
1967,0.15781740612974962,0.0,0.15781740612974962,0.10521160408649974,7910449.959183673,0.13145674906532334
1968,0.15866952048043656,0.0,0.15866952048043656,0.10577968032029106,8687112.530612245,0.1457876626216875
1969,0.15591962108717744,0.0,0.15591962108717744,0.10394641405811829,8714655.448979592,0.1462958822742535
1970,0.16153141060894421,0.0,0.16153141060894421,0.10768760707262948,9618336.163265307,0.16297052410121968
1971,0.16513744862788537,0.0,0.16513744862788537,0.11009163241859024,10754573.918367347,0.18393628921835864
1972,0.1667704404874535,0.0,0.1667704404874535,0.1111802936583023,12306624.469387755,0.21257459766789413
1973,0.1681094625941302,0.0,0.1681094625941302,0.11207297506275347,13596102.530612245,0.23636794024425353
1974,0.16806609060243433,0.0,0.16806609060243433,0.11204406040162286,14893074.18367347,0.2602995539576414
1975,0.17614111033191193,0.0,0.17614111033191193,0.11742740688794127,15558621.795918368,0.27258018347372903
1976,0.3316790308304843,0.0,0.1746987588926418,0.16879259657437534,16549938.959183674,0.29087188581180384
1977,0.35905508658190893,0.0,0.17601410871906972,0.17835639843365952,18501455.408163264,0.32688110598409503
1978,0.4554349938038109,0.00213947841176143,0.18556527553246369,0.21437991591601196,24717678.14285714,0.44158233394998575
1979,0.48958412733588885,0.002053405902108295,0.18751541584201256,0.22638431636000325,27314947.040816326,0.4895069249223852
1980,0.49823178455641515,0.0019898525633592627,0.18657420508496553,0.22893194740157996,29695534.12244898,0.5334333209343918
1981,0.4911890760742264,0.0019239838387381308,0.193302734169766,0.2288052646942435,31825959.979591835,0.5727437627145324
1982,0.5333215285883809,0.2238006029163326,0.19298554469346607,0.3167025587327265,34171546.79591837,0.616024336724805
1983,0.5404280954136301,0.24481101707335007,0.19160256975198783,0.32561389407965596,36888495.91836735,0.6661572573047646
1984,0.5802275771862,0.24122383335215533,0.23861025261061647,0.3533538877163239,29155176.63265306,0.5234626892074689
1985,0.6240032138474996,0.4040298250025754,0.263353324725714,0.4304621211919296,31493360.265306123,0.5666066602846669
1986,0.6416764750134403,0.6540894552631945,0.2900576132136907,0.5286078478301085,33738306.20408163,0.6080302171429895
1987,0.6985794607283425,0.9233590448303901,0.30568030519812434,0.642539603585619,34789637.93877551,0.627429303391278
1988,0.8963560640467554,0.9543739929533147,0.4834021679392525,0.7780440749797742,36306348.091836736,0.6554155137394861
1989,0.9131796169965023,0.9640924362203314,0.5866480067908132,0.8213066866692156,36315412.47959184,0.6555827690729328
1990,0.9585206412098122,0.9699175060016323,0.6322168136266343,0.8535516536126929,36344746.63265306,0.6561240404399773
1991,0.9691845604418781,0.9822584888248796,0.6482753192903296,0.866572789519029,35964625.551020406,0.6491100776687198
1992,0.9676608605717935,0.9917354429182235,0.6461441407401152,0.868513481410044,35269574.071428575,0.636285045231619
1993,0.9822753499753314,0.9943569277559673,0.6980099104841191,0.8915473960718059,35284145.051020406,0.6365539077423719
1994,0.989894557722897,0.9945338143083289,0.7001996958755916,0.8948760226356058,36144043.06122449,0.6524206747334185
1995,0.9897644758947318,1.0,0.6894599495257414,0.8930748084734911,37709049.75510204,0.6812980488597872
1996,0.9898162434135036,1.0,0.7176564755769547,0.9024909063301527,39312338.45918367,0.7108817994734242
1997,1.0,1.0,0.7409042492128342,0.9136347497376114,41099975.85714286,0.7438671369452107
1998,1.0,1.0,0.7539092031357941,0.9179697343785981,43419666.36734694,0.7866698744559242
1999,1.0,1.0,0.7572878060683205,0.9190959353561068,44749876.41836735,0.8112148003404251
2000,1.0,1.0,0.7663856242714947,0.9221285414238315,48485983.75510204,0.8801531440300913
2001,1.0,1.0,0.7873126981802591,0.929104232726753,51231838.510204084,0.9308194289539526
2002,1.0,1.0,1.0,1.0,54981073.3367347,1.0
